"user_id";"user_external_id";"ID";"answered";"Zeer eens";"Eens";"Niet eens/niet oneens";"Oneens";"Zeer oneens"
18539;"7.21.31619876";1593905;"11-08-2021 13:40:42";;1;;;
18568;"8.21.07619905";1593947;"11-08-2021 20:09:22";1;;;;
18607;"8.21.11319944";1593978;"11-08-2021 22:27:26";1;;;;
18608;"8.21.11319945";1594009;"12-08-2021 00:01:08";1;;;;
18040;"4.21.24619377";1594032;"12-08-2021 06:45:51";1;;;;
16161;"8.20.13417498";1594046;"12-08-2021 09:23:43";;1;;;
16259;"8.20.25217596";1596345;"13-08-2021 20:12:07";;;;1;
16114;"8.20.03117451";1596424;"13-08-2021 20:33:45";;;;;1
17202;"12.20.31418539";1596580;"13-08-2021 22:38:16";;;;;1
5977;"3.18.1177314";1597474;"14-08-2021 17:55:44";;;;1;
4059;"8.17.2225396";1597788;"17-08-2021 09:32:08";;1;;;
18641;"8.21.17219978";1597821;"17-08-2021 15:39:42";;;1;;
4561;"10.17.1615898";1597890;"18-08-2021 17:37:12";;1;;;
18651;"8.21.19419988";1597954;"19-08-2021 00:41:02";1;;;;
17426;"1.21.28418763";1600634;"19-08-2021 15:30:19";1;;;;
18560;"8.21.05419897";1600661;"19-08-2021 15:31:46";1;;;;
18657;"8.21.19419994";1601185;"19-08-2021 17:12:25";;1;;;
13277;"6.19.02714614";1602857;"21-08-2021 16:53:08";;1;;;
18668;"8.21.22720005";1603077;"22-08-2021 19:49:10";;1;;;
18064;"4.21.29419401";1603186;"23-08-2021 07:45:19";;1;;;
18680;"8.21.24220017";1604357;"24-08-2021 12:23:56";;1;;;
18683;"8.21.24220020";1604414;"24-08-2021 17:08:38";1;;;;
18686;"8.21.25320023";1604447;"25-08-2021 05:21:25";;1;;;
18688;"8.21.25320025";1604483;"25-08-2021 14:03:52";;1;;;
18690;"8.21.25320027";1604526;"25-08-2021 16:49:01";;1;;;
18692;"8.21.25320029";1604625;"26-08-2021 21:48:01";;1;;;
18706;"8.21.27520043";1604716;"27-08-2021 21:35:06";1;;;;
18707;"8.21.27520044";1604744;"27-08-2021 23:23:32";;1;;;
18715;"8.21.28620052";1604859;"28-08-2021 13:27:47";;;;;1
18717;"8.21.28620054";1604885;"28-08-2021 21:28:10";1;;;;
18718;"8.21.28620055";1604904;"28-08-2021 21:33:56";1;;;;
18734;"8.21.30120071";1605083;"30-08-2021 21:23:35";;1;;;
18739;"8.21.31220076";1605147;"31-08-2021 14:48:21";;1;;;
18740;"8.21.31220077";1605652;"31-08-2021 17:14:50";;;;;1
18743;"9.21.01320080";1605848;"01-09-2021 13:42:42";;;1;;
18754;"9.21.02420091";1608837;"02-09-2021 16:53:13";1;;;;
6436;"5.18.0237773";1609043;"05-09-2021 09:01:29";;1;;;
18821;"9.21.08320158";1610182;"08-09-2021 17:32:44";;;;1;
18822;"9.21.08320159";1610221;"08-09-2021 19:43:23";1;;;;
18825;"9.21.08320162";1610250;"08-09-2021 23:24:20";;1;;;
18826;"9.21.09420163";1610279;"09-09-2021 07:17:50";1;;;;
18833;"9.21.09420170";1617716;"09-09-2021 20:45:33";;1;;;
