"user_id";"user_external_id";"ID";"answered";"Zeer eens";"Eens";"Niet eens/niet oneens";"Oneens";"Zeer oneens"
18718;"8.21.28620055";1604905;"28-08-2021 21:34:55";1;;;;
18734;"8.21.30120071";1605084;"30-08-2021 21:23:42";;1;;;
18739;"8.21.31220076";1605148;"31-08-2021 14:49:17";;1;;;
18740;"8.21.31220077";1605653;"31-08-2021 17:14:58";1;;;;
18743;"9.21.01320080";1605849;"01-09-2021 13:42:51";1;;;;
18754;"9.21.02420091";1608838;"02-09-2021 16:53:24";1;;;;
6436;"5.18.0237773";1609044;"05-09-2021 09:01:35";;;1;;
18821;"9.21.08320158";1610183;"08-09-2021 17:32:59";;;;;1
18822;"9.21.08320159";1610222;"08-09-2021 19:43:34";1;;;;
18825;"9.21.08320162";1610251;"08-09-2021 23:24:28";;1;;;
18826;"9.21.09420163";1610280;"09-09-2021 07:18:04";1;;;;
18833;"9.21.09420170";1617717;"09-09-2021 20:45:48";;;1;;
