"user_id";"user_external_id";"ID";"answered";"Zeer eens";"Eens";"Niet eens/niet oneens";"Oneens";"Zeer oneens"
4059;"8.17.2225396";1597792;"17-08-2021 09:32:18";1;;;;
18641;"8.21.17219978";1597825;"17-08-2021 15:39:51";;;;;1
4561;"10.17.1615898";1597894;"18-08-2021 17:37:34";;;1;;
18651;"8.21.19419988";1597958;"19-08-2021 00:41:53";;1;;;
17426;"1.21.28418763";1600639;"19-08-2021 15:30:29";1;;;;
18560;"8.21.05419897";1600674;"19-08-2021 15:32:17";1;;;;
18657;"8.21.19419994";1601198;"19-08-2021 17:13:10";1;;;;
13277;"6.19.02714614";1602861;"21-08-2021 16:53:51";1;;;;
18668;"8.21.22720005";1603081;"22-08-2021 19:49:43";;;;1;
18064;"4.21.29419401";1603190;"23-08-2021 07:46:33";;1;;;
18680;"8.21.24220017";1604361;"24-08-2021 12:24:38";;1;;;
18683;"8.21.24220020";1604418;"24-08-2021 17:09:05";;;1;;
18686;"8.21.25320023";1604451;"25-08-2021 05:22:09";;1;;;
18688;"8.21.25320025";1604487;"25-08-2021 14:04:23";;1;;;
18690;"8.21.25320027";1604530;"25-08-2021 16:49:37";;1;;;
18692;"8.21.25320029";1604629;"26-08-2021 21:48:30";;1;;;
18706;"8.21.27520043";1604720;"27-08-2021 21:36:20";1;;;;
18707;"8.21.27520044";1604748;"27-08-2021 23:24:26";;1;;;
18715;"8.21.28620052";1604863;"28-08-2021 13:28:28";;;;;1
18718;"8.21.28620055";1604908;"28-08-2021 21:35:22";1;;;;
18739;"8.21.31220076";1605177;"31-08-2021 14:50:03";;1;;;
18740;"8.21.31220077";1605656;"31-08-2021 17:15:22";;;;;1
18743;"9.21.01320080";1605852;"01-09-2021 13:43:10";;;;1;
18754;"9.21.02420091";1608841;"02-09-2021 16:53:55";;;1;;
6436;"5.18.0237773";1609047;"05-09-2021 09:02:01";;;1;;
18821;"9.21.08320158";1610186;"08-09-2021 17:33:30";;;;;1
18822;"9.21.08320159";1610225;"08-09-2021 19:43:59";;1;;;
18825;"9.21.08320162";1610254;"08-09-2021 23:25:09";;1;;;
18826;"9.21.09420163";1610283;"09-09-2021 07:18:26";1;;;;
18833;"9.21.09420170";1617720;"09-09-2021 20:46:17";;1;;;
4931;"11.17.2346268";1631624;"13-09-2021 21:42:28";1;;;;
18870;"9.21.14220207";1633459;"14-09-2021 19:48:46";;1;;;
18885;"9.21.16420222";1634425;"16-09-2021 10:16:37";;;1;;
18879;"9.21.15320216";1634461;"16-09-2021 13:09:21";;;;1;
18892;"9.21.17520229";1634561;"17-09-2021 07:56:55";;1;;;
18896;"9.21.17520233";1639136;"17-09-2021 20:31:29";;;;1;
18906;"9.21.18620243";1640573;"18-09-2021 08:14:10";1;;;;
16827;"11.20.10218164";1643212;"18-09-2021 13:27:11";;1;;;
18464;"7.21.13219801";1650581;"19-09-2021 16:44:56";;;1;;
18952;"9.21.22320289";1657574;"22-09-2021 14:24:14";;;1;;
